id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
123	(1342, 363)	99.45855731723884	38.48252790089746	167.103271484375	13.730062575009958	9.535750183301397	228.6091327213802	74.00881057268722	17.347818	14.190321	12.798143	11.23502	2
124	(1316, 56)	328.5528537328495	73.68054321683977	100.27262115478516	15.990738238593217	27.72236786691454	605.0961594441965	116.29955947136564	9.810303	22.772127	20.015274	11.260972	13
125	(1318, 483)	341.0700770439947	74.45471034701175	167.21263122558594	25.846480892126717	22.91559718077258	492.1500514273516	100.44052863436123	12.852653	15.180548	0.0	9.420565	2
126	(1306, 217)	439.3642414950805	82.03761929457409	104.93645477294922	19.78360834690268	28.621157300704272	997.8846862931554	141.8502202643172	16.614645	24.617834	58.86359	15.595169	13
127	(1299, 5)	60.54842903995809	33.542790917047846	174.1346435546875	13.815122556428426	6.669453447605169	200.08150750063072	74.8898678414097	29.641678	0.0	18.013367	30.099451	13
128	(1302, 413)	562.7898853073027	94.88853237177307	91.76172637939453	20.200439203639622	37.92208725157845	865.337965029401	133.92070484581498	10.496183	17.345215	17.15935	9.211291	2
129	(1302, 135)	541.927846455394	93.81203399355716	104.74785614013672	20.903126284570362	32.76654005534468	933.0668167439694	142.73127753303964	14.152903	19.8075	24.094772	12.624339	2
130	(1302, 325)	558.9085757534592	89.8785836371031	48.845787048339844	27.03240159997347	27.219180726092947	1181.2765627122592	149.7797356828194	22.037378	59.756413	16.59022	17.694042	2
131	(1268, 366)	108.77370024646316	40.974534293103325	3.7544100284576416	15.518222651687926	9.142601932401906	234.81922800752974	81.05726872246696	12.922349	16.015507	12.20923	13.75939	2
132	(1270, 52)	478.3714025112073	86.07795973706351	99.80744171142578	19.58310660754581	32.8682188837503	802.2666847794446	134.80176211453744	10.879223	23.437428	21.322483	10.074375	13
133	(1255, 482)	334.9570144966912	71.70464845480898	178.66526794433594	26.40869769787014	18.925823018967275	534.4563255642454	102.20264317180617	19.396847	14.302733	0.0	13.035965	2
134	(1236, 4)	35.7080478953599	27.01044418738277	172.63499450683594	10.9067420247579	4.599853525928559	147.1016320906674	69.60352422907489	26.940725	0.7235891	18.605934	30.05696	13
135	(1241, 134)	615.8667934561121	97.1224830014065	106.90467834472656	24.801982563088757	32.88238010013752	1036.3096508762058	143.6123348017621	16.047186	20.590267	19.472466	14.287026	2
136	(1242, 213)	632.9445554930234	97.63859431649095	122.23114013671875	27.84833576529387	30.23463599449825	1364.0862426982865	161.23348017621146	20.202621	20.839651	64.44402	18.435686	13
137	(1235, 413)	937.7243882085816	115.12691344458626	137.0110321044922	35.30544077362573	35.01238439946928	1329.3485221913875	162.99559471365637	18.923885	15.831418	16.547026	11.636799	2
138	(1225, 328)	628.9662132003339	95.10231270138912	43.338966369628906	29.251446750793235	29.190383893159925	1338.0814686875353	159.4713656387665	20.748573	63.423893	17.707983	23.052559	2
139	(1200, 453)	37.64870267228163	23.548829765571895	151.93829345703125	7.7191691245668785	6.0790395492996625	139.53307846067264	63.436123348017624	19.125008	15.01172	11.867003	18.818605	2
140	(1212, 51)	633.1386209707156	96.0902603187225	111.54722595214844	26.279390020885213	31.677745905380316	1103.844437113082	151.5418502202643	17.809305	36.54248	20.052406	11.2216835	13
141	(1188, 368)	22.80269362883037	19.187818907431044	157.49258422851562	6.6351524712621694	4.324213347049711	140.30934037144132	60.79295154185022	20.670172	19.638102	21.453766	18.613985	2
142	(1166, 131)	888.5287896136157	115.98963149318611	133.6927490234375	34.63856196117921	34.85921281534913	1401.1527489374917	170.04405286343612	17.012756	21.493073	19.10963	16.494736	2
143	(1158, 215)	948.8831531758816	119.21152926751695	158.56617736816406	38.09348779610091	33.37755240019552	1721.1667216518854	184.1409691629956	19.185137	19.28794	46.2003	24.201145	12
144	(1162, 480)	680.3935647887597	114.33440704177654	172.00999450683594	44.86320984549794	22.486261125816736	982.7475790331658	152.4229074889868	20.960567	19.570768	0.0	13.7119465	2
145	(1141, 412)	882.9979234993888	114.69935273283903	178.30947875976562	41.112779343341245	29.268298644305045	1405.034058491335	162.99559471365637	20.45494	19.85381	19.523026	19.100842	2
